Rank,Song,Artist,Year
1,Bad Day,Daniel Powter,2005
2,Temperature,Sean Paul,2005
3,Promiscuous,Nelly Furtado Featuring Timbaland,2005
4,You're Beautiful,James Blunt,2005
5,Hips Don't Lie,Shakira Featuring Wyclef Jean,2005
6,Unwritten,Natasha Bedingfield,2005
