,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
34,Bubba Sparxxx ,Ms. New Booty,252653,2005,0.64,0.62,1,-5.931,0.416,0.016,0.0,0.0831,0.609,129.37,spotify:track:0k6HUzaRHpQ3eEWr1C7Esh
35,Nickelback,Photograph,258920,2005,0.513,0.877,8,-3.756,0.0292,0.000932,0.000163,0.136,0.389,145.919,spotify:track:3hb2ScEVkGchcAQqrPLP0R
36,Kelly Clarkson,Because Of You,219493,2005,0.583,0.584,5,-5.362,0.0314,0.254,0.0,0.123,0.136,140.039,spotify:track:3f3omU8n47Mqyab5nCaGyT
37,The Pussycat Dolls,Stickwitu,207507,2005,0.655,0.54,9,-6.482,0.0516,0.268,0.0,0.068,0.43,79.983,spotify:track:4NjR63Up0uMkQBlKvlZd1l
38,T-Pain ,Im N Luv ,265333,2005,0.731,0.368,8,-10.38,0.0688,0.00544,0.0,0.193,0.512,145.171,spotify:track:1lih9AUGlOI2qbAkptdBsr
39,The Black Eyed Peas,My Humps,326960,2005,0.801,0.682,1,-5.919,0.225,0.111,1.56e-05,0.109,0.586,123.95,spotify:track:19JdbdEwQI7bCxefMokZO8
40,Fort Minor ,Whered You Go,231867,2005,0.684,0.819,1,-3.309,0.238,0.262,0.00197,0.113,0.25,179.999,spotify:track:7pAT4dOUzjq8Ziap5ShIqC
41,Chris Brown,Yo ,229040,2005,0.536,0.612,4,-5.847,0.272,0.119,0.0,0.209,0.57,86.768,spotify:track:7DFnq8FYhHMCylykf6ZCxA
42,Kelly Clarkson,Walk Away,189307,2005,0.75,0.888,0,-4.524,0.0426,0.0147,1.11e-06,0.0759,0.935,115.973,spotify:track:25sA1vM4BFkTb5cJGWftFo
43,D4L,Laffy Taffy,224253,2005,0.891,0.439,7,-7.994,0.428,0.0351,0.0,0.0932,0.622,77.499,spotify:track:2ajhenDRiiAnCHHjsIOHhJ
44,T.I.,What You Know,274333,2005,0.551,0.81,11,-4.365,0.0344,0.0155,0.0,0.169,0.332,73.464,spotify:track:0CAJdthKDdRjB2h8YOguN6
45,The All-American Rejects,Dirty Little Secret,193653,2005,0.465,0.954,10,-4.251,0.044,0.000346,5.38e-06,0.573,0.458,143.85,spotify:track:5lDriBxJd22IhOH9zTcFrV
46,Nickelback,Savin Me,219320,2005,0.441,0.815,3,-4.088,0.0276,0.000731,0.0,0.414,0.522,164.021,spotify:track:4Gd9PUEuOTOJtbgd4YxLXM
47,Mariah Carey,Dont Forget About Us,233867,2005,0.7,0.529,10,-6.816,0.0395,0.0422,0.0,0.101,0.386,143.555,spotify:track:2hQU8LNZFUcXLUwqeABX3K
48,Ne-Yo,Sexy Love,220853,2005,0.693,0.516,8,-6.446,0.0413,0.297,0.000127,0.0604,0.494,94.02,spotify:track:10aWGOqSDBqvNzJ9NeKDbK
49,E-40 ,U And Dat,202720,2005,0.858,0.484,6,-7.448,0.277,0.0241,1.8e-06,0.123,0.329,99.992,spotify:track:7g7M96UGiA7OR79H86gV4m
50,Nickelback,Far Away,238173,2005,0.518,0.797,6,-5.153,0.0309,0.000696,0.0,0.107,0.293,132.915,spotify:track:0ADZ5dmXhlfzjMw6lefoPl
51,Nick Lachey,Whats Left Of Me,244667,2005,0.421,0.728,7,-5.644,0.035,0.136,0.0,0.136,0.311,150.12,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd
52,Field Mob ,So What,216000,2005,0.931,0.486,6,-10.558,0.139,0.0579,0.0,0.161,0.896,120.026,spotify:track:0Uc706myy6Th7I6KQ9xA1x
53,Cherish ,Do It To It,226293,2005,0.826,0.67,2,-5.559,0.169,0.00798,0.0,0.495,0.794,74.007,spotify:track:6MBEjJlXQYXr8dfxDvZuoA
54,KT Tunstall,Black Horse & The Cherry Tree,172373,2005,0.748,0.786,4,-7.788,0.0641,0.328,0.0,0.34,0.917,104.833,spotify:track:0qAMjeQFyd1qD0LDiV8gWp
55,Juelz Santana,There It Go! ,180493,2005,0.942,0.892,6,-6.363,0.196,0.023,0.000897,0.264,0.595,100.007,spotify:track:50UkypyQJbSQLaXHke5Yep
56,Young Dro ,Shoulder Lean,258680,2005,0.7,0.518,4,-7.191,0.177,0.0471,0.0,0.1,0.542,75.973,spotify:track:2OqYarizUUGzSSNHPrDEii
57,Jamie Foxx ,Unpredictable,219867,2005,0.734,0.599,9,-8.462,0.197,0.206,0.0,0.0555,0.772,145.185,spotify:track:3UNrtRxBBlWE70SjxnOo02
58,Justin Timberlake ,My Love,276160,2005,0.772,0.68,11,-5.881,0.224,0.277,1.17e-05,0.682,0.807,119.953,spotify:track:4NeOWqHmlrGRuBvsLJC9rL
59,Eminem ,Shake That,274440,2005,0.963,0.643,1,-5.785,0.117,0.0507,4.94e-05,0.157,0.534,107.005,spotify:track:0fGh0trRN1xz3s41r7V5ce
60,Chingy ,Pullin Me Back,234133,2005,0.786,0.511,7,-6.66,0.286,0.0825,0.0,0.12,0.587,80.0,spotify:track:5hF2LnbkpnXCkksMSeWcxZ
61,Kelis ,Bossy,274947,2005,0.906,0.624,4,-5.556,0.179,0.000185,6.21e-06,0.0608,0.775,84.009,spotify:track:0Eu5SrReZzaJX0NLKI8tQS
62,Jibbs,Chain Hang Low,207587,2005,0.792,0.589,4,-6.869,0.262,0.0259,0.000128,0.114,0.778,157.147,spotify:track:0tYPj0NYa7vjlJaqlRSnJb
63,Akon ,Smack That,212360,2005,0.939,0.742,5,-5.171,0.0467,0.321,0.0,0.107,0.924,118.978,spotify:track:2kQuhkFX7uSVepCD3h29g5
64,Ray J,One Wish,337640,2005,0.525,0.652,5,-7.042,0.28,0.278,0.0,0.339,0.602,127.673,spotify:track:5qrzhg9Fmu8Amg2uMhHfe5
65,Fall Out Boy,"Sugar, Were Goin Down",229093,2005,0.494,0.841,7,-4.784,0.0838,0.00579,0.0,0.122,0.567,162.013,spotify:track:2TfSHkHiFO4gRztVIkggkE
66,Chris Brown ,Gimme That,186827,2005,0.678,0.572,11,-7.033,0.0466,0.00374,6.59e-05,0.118,0.444,87.165,spotify:track:53ETzLQQKFCzykRbqWb1ph
