,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
93,Sean Paul,Temperature,218573,2006,0.951,0.6,0,-4.675,0.0685,0.106,0.0,0.0712,0.822,125.04
94,Nelly Furtado ,Promiscuous,242200,2006,0.795,0.978,10,-6.097,0.0459,0.046,8.29e-05,0.143,0.843,114.321
95,James Blunt,You're Beautiful,177066,2006,0.66,0.183,3,-15.238,0.068,0.994,0.928,0.119,0.218,78.936
96,Shakira ,Hips Don't Lie,218093,2006,0.778,0.824,10,-5.892,0.0712,0.284,0.0,0.405,0.756,100.024
97,Natasha Bedingfield,Unwritten,259333,2006,0.706,0.801,5,-6.333,0.0399,0.00577,0.0,0.0822,0.63,100.013
98,Gnarls Barkley,Crazy,182066,2006,0.835,0.741,8,-1.609,0.0339,0.0172,0.0577,0.0826,0.612,111.963
99,Chamillionaire ,Ridin',303053,2006,0.788,0.798,8,-4.68,0.0997,0.189,0.0,0.3,0.836,143.051
100,Justin Timberlake,SexyBack,242733,2006,0.967,0.583,7,-5.562,0.0789,0.0584,0.0,0.0519,0.964,117.0
101,Beyonce ,Check On It,76214,2006,0.519,0.884,7,-8.077,0.369,0.00294,0.0,0.943,0.693,167.345
102,Mary J. Blige,Be Without You,246333,2006,0.724,0.705,2,-5.859,0.112,0.067,0.0,0.262,0.662,146.589
103,Nelly ,Grillz,271160,2006,0.863,0.514,4,-7.243,0.249,0.0419,0.0,0.301,0.843,82.985
104,The Fray,Over My Head (Cable Car),236267,2006,0.592,0.729,8,-4.156,0.0448,0.022,0.0,0.0653,0.709,116.03
105,Cassie,Me & U,192213,2006,0.803,0.454,8,-4.802,0.0294,0.352,0.0,0.0655,0.739,99.99
106,The Pussycat Dolls ,Buttons,225560,2006,0.57,0.821,2,-4.38,0.267,0.178,0.0,0.289,0.408,210.857
107,Chris Brown,Run It!,229867,2006,0.846,0.482,1,-6.721,0.129,0.0246,0.0,0.393,0.212,100.969
108,Ne-Yo,So Sick,207187,2006,0.452,0.574,6,-8.336,0.31,0.246,0.0,0.189,0.58,92.791
109,Yung Joc,It's Goin' Down,241307,2006,0.744,0.368,1,-6.349,0.0524,0.0702,0.0,0.192,0.391,84.018
110,Rihanna,SOS,238920,2006,0.677,0.671,7,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046
111,Panic! At The Disco,I Write Sins Not Tragedies,187613,2006,0.567,0.795,9,-4.985,0.134,0.0938,0.0,0.114,0.635,170.06
