,Rank,Song,Artist,Year,Genre
120,1,Low,Flo Rida Featuring T-Pain,2008,pop
121,2,Leavin',Jesse McCartney,2008,pop
122,3,Bleeding Love,Leona Lewis,2008,pop
123,4,Apologize,Timbaland Featuring OneRepublic,2008,pop
124,5,Forever,Chris Brown,2008,pop
125,6,Take A Bow,Rihanna,2008,pop
126,7,No Air,Jordin Sparks Duet With Chris Brown,2008,pop
127,8,No One,Alicia Keys,2008,pop
128,9,Love Song,Sara Bareilles,2008,pop
129,10,With You,Chris Brown,2008,pop
130,11,Disturbia,Rihanna,2008,pop
131,12,Clumsy,Fergie,2008,pop
132,13,Love In This Club,Usher Featuring Young Jeezy,2008,pop
133,14,Closer,Ne-Yo,2008,pop
134,15,See You Again,Miley Cyrus,2008,pop
135,16,I Kissed A Girl,Katy Perry,2008,pop
136,17,Pocketful Of Sunshine,Natasha Bedingfield,2008,pop
137,18,Shake It,Metro Station,2008,pop
138,19,Stop And Stare,OneRepublic,2008,pop
139,20,Sorry,Buckcherry,2008,pop
140,21,Don't Stop The Music,Rihanna,2008,pop
141,22,Tattoo,Jordin Sparks,2008,pop
142,23,Sexy Can I,Ray J & Yung Berg,2008,pop
143,24,Dangerous,Kardinal Offishall Featuring Akon,2008,pop
144,25,Better In Time,Leona Lewis,2008,pop
145,26,Fall For You,Secondhand Serenade,2008,pop
146,27,One Step At A Time,Jordin Sparks,2008,pop
147,28,So What,P!nk,2008,pop
148,29,Paralyzer,Finger Eleven,2008,pop
149,30,Kiss Kiss,Chris Brown Featuring T-Pain,2008,pop
150,31,Take You There,Sean Kingston,2008,pop
151,32,Damaged,Danity Kane,2008,pop
152,33,Lollipop,Lil Wayne Featuring Static Major,2008,pop
153,34,Hate That I Love You,Rihanna Featuring Ne-Yo,2008,pop
154,35,Teardrops On My Guitar,Taylor Swift,2008,pop
155,36,All Summer Long,Kid Rock,2008,pop
156,37,Bubbly,Colbie Caillat,2008,pop
157,38,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,pop
158,39,Hot N Cold,Katy Perry,2008,pop
159,40,Realize,Colbie Caillat,2008,pop
160,1,Gives You Hell,The All-American Rejects,2009,pop
161,2,Just Dance,Lady Gaga Featuring Colby O'Donis,2009,pop
162,3,I Gotta Feeling,The Black Eyed Peas,2009,pop
163,4,Poker Face,Lady Gaga,2009,pop
164,5,You Belong With Me,Taylor Swift,2009,pop
165,6,Boom Boom Pow,The Black Eyed Peas,2009,pop
166,7,Right Round,Flo Rida,2009,pop
167,8,Love Story,Taylor Swift,2009,pop
168,9,My Life Would Suck Without You,Kelly Clarkson,2009,pop
169,10,You Found Me,The Fray,2009,pop
170,11,Use Somebody,Kings Of Leon,2009,pop
171,12,Waking Up In Vegas,Katy Perry,2009,pop
172,13,Circus,Britney Spears,2009,pop
173,14,Down,Jay Sean Featuring Lil Wayne,2009,pop
174,15,Live Your Life,T.I. Featuring Rihanna,2009,pop
175,16,Don't Trust Me,3OH!3,2009,pop
176,17,Sober,P!nk,2009,pop
177,18,Halo,Beyonce,2009,pop
178,19,Single Ladies (Put A Ring On It),Beyonce,2009,pop
179,20,Second Chance,Shinedown,2009,pop
180,21,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,2009,pop
181,22,LoveGame,Lady Gaga,2009,pop
182,23,Dead And Gone,T.I. Featuring Justin Timberlake,2009,pop
183,24,Heartless,Kanye West,2009,pop
184,25,Party In The U.S.A.,Miley Cyrus,2009,pop
185,26,Womanizer,Britney Spears,2009,pop
186,27,I Know You Want Me (Calle Ocho),Pitbull,2009,pop
187,28,I'm Yours,Jason Mraz,2009,pop
188,29,Battlefield,Jordin Sparks,2009,pop
189,30,Let It Rock,Kevin Rudolf Featuring Lil Wayne,2009,pop
190,31,Please Don't Leave Me,P!nk,2009,pop
191,32,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,2009,pop
192,33,The Climb,Miley Cyrus,2009,pop
193,34,Fire Burning,Sean Kingston,2009,pop
194,35,Hot N Cold,Katy Perry,2009,pop
195,36,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,2009,pop
196,37,Blame It,Jamie Foxx Featuring T-Pain,2009,pop
197,38,How Do You Sleep?,Jesse McCartney Featuring Ludacris,2009,pop
198,39,Whatcha Say,Jason Derulo,2009,pop
199,40,I Do Not Hook Up,Kelly Clarkson,2009,pop
200,1,TiK ToK,Ke$ha,2010,pop
201,2,Airplanes,B.o.B Featuring Hayley Williams,2010,pop
202,3,Bad Romance,Lady Gaga,2010,pop
203,4,Dynamite,Taio Cruz,2010,pop
204,5,California Gurls,Katy Perry Featuring Snoop Dogg,2010,pop
205,6,In My Head,Jason Derulo,2010,pop
206,7,Break Your Heart,Taio Cruz Featuring Ludacris,2010,pop
207,8,I Like It,Enrique Iglesias Featuring Pitbull,2010,pop
208,9,Love The Way You Lie,Eminem Featuring Rihanna,2010,pop
209,10,Cooler Than Me,Mike Posner,2010,pop
210,11,Telephone,Lady Gaga Featuring Beyonce,2010,pop
211,12,"Hey, Soul Sister",Train,2010,pop
212,13,Your Love Is My Drug,Ke$ha,2010,pop
213,14,OMG,Usher Featuring will.i.am,2010,pop
214,15,Teenage Dream,Katy Perry,2010,pop
215,16,Sexy Chick,David Guetta Featuring Akon,2010,pop
216,17,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010,pop
217,18,Nothin' On You,B.o.B Featuring Bruno Mars,2010,pop
218,19,Billionaire,Travie McCoy Featuring Bruno Mars,2010,pop
219,20,Just The Way You Are,Bruno Mars,2010,pop
220,21,Breakeven,The Script,2010,pop
221,22,Replay,Iyaz,2010,pop
222,23,Rude Boy,Rihanna,2010,pop
223,24,Need You Now,Lady Antebellum,2010,pop
224,25,Alejandro,Lady Gaga,2010,pop
225,26,Imma Be,The Black Eyed Peas,2010,pop
226,27,According To You,Orianthi,2010,pop
227,28,Carry Out,Timbaland Featuring Justin Timberlake,2010,pop
228,29,Whatcha Say,Jason Derulo,2010,pop
229,30,Ridin' Solo,Jason Derulo,2010,pop
230,31,Bulletproof,La Roux,2010,pop
231,32,Just A Dream,Nelly,2010,pop
232,33,Fireflies,Owl City,2010,pop
233,34,Empire State Of Mind,Jay-Z + Alicia Keys,2010,pop
234,35,Club Can't Handle Me,Flo Rida Featuring David Guetta,2010,pop
235,36,Take It Off,Ke$ha,2010,pop
236,37,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,2010,pop
237,38,BedRock,Young Money Featuring Lloyd,2010,pop
238,39,3,Britney Spears,2010,pop
239,40,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2010,pop
240,41,Misery,Maroon 5,2010,pop
241,42,Impossible,Shontelle,2010,pop
242,43,Find Your Love,Drake,2010,pop
243,44,All The Right Moves,OneRepublic,2010,pop
244,45,Only Girl (In The World),Rihanna,2010,pop
245,46,Down,Jay Sean Featuring Lil Wayne,2010,pop
246,47,Like A G6,Far*East Movement Featuring Cataracs & Dev,2010,pop
247,48,Whataya Want From Me,Adam Lambert,2010,pop
248,49,Live Like We're Dying,Kris Allen,2010,pop
249,50,Secrets,OneRepublic,2010,pop
250,1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,pop
251,2,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,pop
252,3,E.T.,Katy Perry Featuring Kanye West,2011,pop
253,4,Last Friday Night (T.G.I.F.),Katy Perry,2011,pop
254,5,Rolling In The Deep,Adele,2011,pop
255,6,Grenade,Bruno Mars,2011,pop
256,7,Just Can't Get Enough,The Black Eyed Peas,2011,pop
257,8,Firework,Katy Perry,2011,pop
258,9,Super Bass,Nicki Minaj,2011,pop
259,10,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011,pop
260,11,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,pop
261,12,We R Who We R,Ke$ha,2011,pop
262,13,I Wanna Go,Britney Spears,2011,pop
263,14,F**kin' Perfect,P!nk,2011,pop
264,15,S&M,Rihanna,2011,pop
265,16,Till The World Ends,Britney Spears,2011,pop
266,17,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011,pop
267,19,Raise Your Glass,P!nk,2011,pop
268,20,Tonight Tonight,Hot Chelle Rae,2011,pop
269,21,The Edge Of Glory,Lady Gaga,2011,pop
270,22,Lighters,Bad Meets Evil Featuring Bruno Mars,2011,pop
271,23,You Make Me Feel...,Cobra Starship Featuring Sabi,2011,pop
272,24,Pumped Up Kicks,Foster The People,2011,pop
273,25,Good Life,OneRepublic,2011,pop
274,26,The Lazy Song,Bruno Mars,2011,pop
275,27,Blow,Ke$ha,2011,pop
276,28,Born This Way,Lady Gaga,2011,pop
277,29,Someone Like You,Adele,2011,pop
278,30,What's My Name?,Rihanna Featuring Drake,2011,pop
279,31,On The Floor,Jennifer Lopez Featuring Pitbull,2011,pop
280,32,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011,pop
281,33,Only Girl (In The World),Rihanna,2011,pop
282,34,Just A Dream,Nelly,2011,pop
283,35,More,Usher,2011,pop
284,36,Yeah 3X,Chris Brown,2011,pop
285,37,Written In The Stars,Tinie Tempah Featuring Eric Turner,2011,pop
286,38,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011,pop
287,39,The Show Goes On,Lupe Fiasco,2011,pop
288,40,Hold It Against Me,Britney Spears,2011,pop
289,41,Rocketeer,Far*East Movement Featuring Ryan Tedder,2011,pop
290,42,What The Hell,Avril Lavigne,2011,pop
291,43,How To Love,Lil Wayne,2011,pop
292,44,Without You,David Guetta Featuring Usher,2011,pop
293,45,You And I,Lady Gaga,2011,pop
294,46,Down On Me,Jeremih Featuring 50 Cent,2011,pop
295,47,Just The Way You Are,Bruno Mars,2011,pop
296,48,In The Dark,Dev,2011,pop
297,49,If I Die Young,The Band Perry,2011,pop
298,50,For The First Time,The Script,2011,pop
299,1,Lights,Ellie Goulding,2012,pop
300,2,We Found Love,Rihanna Featuring Calvin Harris,2012,pop
301,3,Glad You Came,The Wanted,2012,pop
302,4,Call Me Maybe,Carly Rae Jepsen,2012,pop
303,5,Payphone,Maroon 5 Featuring Wiz Khalifa,2012,pop
304,6,Good Feeling,Flo Rida,2012,pop
305,7,We Are Young,fun. Featuring Janelle Monae,2012,pop
306,8,Somebody That I Used To Know,Gotye Featuring Kimbra,2012,pop
307,9,Wide Awake,Katy Perry,2012,pop
308,10,Set Fire To The Rain,Adele,2012,pop
309,11,Stronger (What Doesn't Kill You),Kelly Clarkson,2012,pop
310,12,It Will Rain,Bruno Mars,2012,pop
311,13,Starships,Nicki Minaj,2012,pop
312,14,The One That Got Away,Katy Perry,2012,pop
313,15,What Makes You Beautiful,One Direction,2012,pop
314,16,Where Have You Been,Rihanna,2012,pop
315,17,Wild Ones,Flo Rida Featuring Sia,2012,pop
316,18,Give Your Heart A Break,Demi Lovato,2012,pop
317,19,Blow Me (One Last Kiss),P!nk,2012,pop
318,20,One More Night,Maroon 5,2012,pop
319,21,Domino,Jessie J,2012,pop
320,22,Turn Me On,David Guetta Featuring Nicki Minaj,2012,pop
321,23,Titanium,David Guetta Featuring Sia,2012,pop
322,24,Part Of Me,Katy Perry,2012,pop
323,25,Sexy And I Know It,LMFAO,2012,pop
324,26,Everybody Talks,Neon Trees,2012,pop
325,27,Good Time,Owl City & Carly Rae Jepsen,2012,pop
326,28,As Long As You Love Me,Justin Bieber Featuring Big Sean,2012,pop
327,29,Whistle,Flo Rida,2012,pop
328,30,Some Nights,fun.,2012,pop
329,31,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2012,pop
330,32,Scream,Usher,2012,pop
331,33,Without You,David Guetta Featuring Usher,2012,pop
332,34,We Are Never Ever Getting Back Together,Taylor Swift,2012,pop
333,35,Too Close,Alex Clare,2012,pop
334,36,Boyfriend,Justin Bieber,2012,pop
335,37,Love You Like A Love Song,Selena Gomez & The Scene,2012,pop
336,38,Let's Go,Calvin Harris Featuring Ne-Yo,2012,pop
337,39,International Love,Pitbull Featuring Chris Brown,2012,pop
338,40,Feel So Close,Calvin Harris,2012,pop
339,41,Brokenhearted,Karmin,2012,pop
340,42,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2012,pop
341,43,Take Care,Drake Featuring Rihanna,2012,pop
342,44,Not Over You,Gavin DeGraw,2012,pop
343,45,Want U Back,Cher Lloyd,2012,pop
344,46,Rumour Has It,Adele,2012,pop
345,47,Drive By,Train,2012,pop
346,48,Don't Wake Me Up,Chris Brown,2012,pop
347,49,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012,pop
348,50,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012,pop
349,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013,pop
350,2,Locked Out Of Heaven,Bruno Mars,2013,pop
351,3,I Knew You Were Trouble.,Taylor Swift,2013,pop
352,4,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013,pop
353,5,Clarity,Zedd Featuring Foxes,2013,pop
354,6,Mirrors,Justin Timberlake,2013,pop
355,7,Radioactive,Imagine Dragons,2013,pop
356,8,Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013,pop
357,9,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013,pop
358,10,Daylight,Maroon 5,2013,pop
359,11,Just Give Me A Reason,P!nk Featuring Nate Ruess,2013,pop
360,12,Stay,Rihanna Featuring Mikky Ekko,2013,pop
361,13,Roar,Katy Perry,2013,pop
362,14,When I Was Your Man,Bruno Mars,2013,pop
363,15,Ho Hey,The Lumineers,2013,pop
364,16,Safe And Sound,Capital Cities,2013,pop
365,17,Wake Me Up!,Avicii,2013,pop
366,18,Get Lucky,Daft Punk Featuring Pharrell Williams,2013,pop
367,19,Love Somebody,Maroon 5,2013,pop
368,20,Come & Get It,Selena Gomez,2013,pop
369,21,I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013,pop
370,22,Scream & Shout,will.i.am & Britney Spears,2013,pop
371,23,I Love It,Icona Pop Featuring Charli XCX,2013,pop
372,24,Sweet Nothing,Calvin Harris Featuring Florence Welch,2013,pop
373,25,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013,pop
374,26,The Other Side,Jason Derulo,2013,pop
375,27,Royals,Lorde,2013,pop
376,28,Suit & Tie,Justin Timberlake Featuring JAY Z,2013,pop
377,29,Summertime Sadness,Lana Del Rey & Cedric Gervais,2013,pop
378,30,Heart Attack,Demi Lovato,2013,pop
379,31,Treasure,Bruno Mars,2013,pop
380,32,Feel This Moment,Pitbull Featuring Christina Aguilera,2013,pop
381,33,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013,pop
382,34,Holy Grail,Jay Z Featuring Justin Timberlake,2013,pop
383,35,Diamonds,Rihanna,2013,pop
384,36,Try,P!nk,2013,pop
385,37,Applause,Lady Gaga,2013,pop
386,38,Die Young,Ke$ha,2013,pop
387,39,Cruise,Florida Georgia Line Featuring Nelly,2013,pop
388,40,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013,pop
389,41,I Cry,Flo Rida,2013,pop
390,42,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013,pop
391,43,One More Night,Maroon 5,2013,pop
392,44,We Can't Stop,Miley Cyrus,2013,pop
393,45,It's Time,Imagine Dragons,2013,pop
394,46,Still Into You,Paramore,2013,pop
395,47,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013,pop
396,48,Wrecking Ball,Miley Cyrus,2013,pop
397,49,Troublemaker,Olly Murs Featuring Flo Rida,2013,pop
398,50,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,pop
399,1,Dark Horse,Katy Perry Featuring Juicy J,2014,pop
400,2,Counting Stars,OneRepublic,2014,pop
401,3,All Of Me,John Legend,2014,pop
402,4,Am I Wrong,Nico & Vinz,2014,pop
403,5,Talk Dirty,Jason Derulo Featuring 2 Chainz,2014,pop
404,6,Rude,MAGIC!,2014,pop
405,7,Team,Lorde,2014,pop
406,8,Stay With Me,Sam Smith,2014,pop
407,9,Happy,Pharrell Williams,2014,pop
408,10,Problem,Ariana Grande Featuring Iggy Azalea,2014,pop
409,11,Pompeii,Bastille,2014,pop
410,12,Timber,Pitbull Featuring Ke$ha,2014,pop
411,13,The Monster,Eminem Featuring Rihanna,2014,pop
412,14,Latch,Disclosure Featuring Sam Smith,2014,pop
413,15,All About That Bass,Meghan Trainor,2014,pop
414,16,Boom Clap,Charli XCX,2014,pop
415,17,Black Widow,Iggy Azalea Featuring Rita Ora,2014,pop
416,18,Fancy,Iggy Azalea Featuring Charli XCX,2014,pop
417,19,Shake It Off,Taylor Swift,2014,pop
418,20,Not A Bad Thing,Justin Timberlake,2014,pop
419,21,Burn,Ellie Goulding,2014,pop
420,22,Maps,Maroon 5,2014,pop
421,23,Ain't It Fun,Paramore,2014,pop
422,24,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014,pop
423,25,Summer,Calvin Harris,2014,pop
424,26,Break Free,Ariana Grande Featuring Zedd,2014,pop
425,27,Story Of My Life,One Direction,2014,pop
426,28,Best Day Of My Life,American Authors,2014,pop
427,29,Rather Be,Clean Bandit Featuring Jess Glynne,2014,pop
